mex_dir,mex_file,mex_path,ID,TextID,WordID,Preview,start,end,file_name,tag,preview_length
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,26,2,4,Francisca TomĂˇsia de Oliveira,47,77,103_20579,PERSON,30
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,27,2,4,JosĂ© AntĂ´nio de Oliveira Silva,117,149,103_20579,PERSON,32
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,28,2,4,D. JoĂŁo VI,158,169,103_20579,PERSON,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,31,2,8,uma preta,267,277,103_20579,AFFILIATION,9
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,32,2,8,seus filhos,254,265,103_20579,AFFILIATION,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,33,2,1,brigue,103,109,103_20579,ROLE,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,34,2,3,REQUERIMENTO,31,44,103_20579,TYPE,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,35,3,7,"1750, Abril, 13",8,23,104_3204,DATE,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,36,3,5,Estado do MaranhĂŁo,152,172,104_3204,LOCALIZATION,19
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,37,3,4,D. JoĂŁo V,71,82,104_3204,PERSON,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,38,3,3,CONSULTA,32,41,104_3204,TYPE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,39,3,1,provedor,130,139,104_3204,ROLE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,40,3,1,rei,68,72,104_3204,ROLE,3
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,41,3,2,Fazenda,142,150,104_3204,INSTITUTION,7
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,42,3,2,Conselho Ultramarino,44,64,104_3204,INSTITUTION,20
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,43,4,7,"1753, MarĂ§o, 2",8,23,105_8848,DATE,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,44,4,5,Bahia,25,31,105_8848,LOCALIZATION,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,45,4,5,Estado do Brasil,71,87,105_8848,LOCALIZATION,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,46,4,4,LuĂ­s Pedro Peregrino de Carvalho de Meneses e AtaĂ­de,108,162,105_8848,PERSON,54
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,47,4,4,D. JosĂ©,170,178,105_8848,PERSON,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,48,4,4,JoĂŁo da Silva,277,291,105_8848,PERSON,14
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,49,4,1,conde de Atouguia,89,106,105_8848,ROLE,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,50,5,7,"1797, Fevereiro, 16",8,27,106_3472,DATE,19
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,51,5,5,PalĂˇcio de Queluz,29,47,106_3472,LOCALIZATION,18
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,52,5,5,"SĂŁo Paulo,",297,308,106_3472,LOCALIZATION,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,53,5,4,JosĂ© Seabra da Silva,57,78,106_3472,PERSON,21
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,54,5,4,D. AntĂ´nio JosĂ© de Castro,120,147,106_3472,PERSON,27
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,55,5,4,Garcia Rodrigues Pais Leme,197,224,106_3472,PERSON,26
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,56,5,4,D. JoĂŁo,333,342,106_3472,PERSON,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,57,5,3,AVISO,48,54,106_3472,TYPE,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,58,5,1,(presidente,83,95,106_3472,ROLE,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,59,5,1,capitĂŁo,226,235,106_3472,ROLE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,60,5,1,PrĂ­ncipe Regente,316,333,106_3472,ROLE,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,61,5,2,Conselho Ultramarino,98,118,106_3472,INSTITUTION,20
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,62,5,2,Conselho,362,370,106_3472,INSTITUTION,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,63,6,7,"1802, fevereiro, 10",13,32,107_15657,DATE,19
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,64,6,5,povoaĂ§ĂŁo do Pasmado,100,121,107_15657,LOCALIZATION,21
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,65,6,5,ItamaracĂˇ,139,149,107_15657,LOCALIZATION,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,66,6,4,Manoel do EspĂ­rito Santo Barros,151,183,107_15657,PERSON,32
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,67,6,4,"Daniel Eduardo Rodrigues GrijĂł,",204,236,107_15657,PERSON,32
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,68,6,4,D. JoĂŁo,258,266,107_15657,PERSON,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,69,6,3,REQUERIMENTO,33,46,107_15657,TYPE,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,70,6,1,comandante,58,69,107_15657,ROLE,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,71,6,1,procurador,193,204,107_15657,ROLE,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,72,6,1,prĂ­ncipe regente,240,257,107_15657,ROLE,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,73,6,2,Infantaria da OrdenanĂ§a,72,96,107_15657,INSTITUTION,24
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,74,7,7,"1782, Junho, 22",14,29,108_9660,DATE,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,75,7,7,Rio de Janeiro,87,101,108_9660,DATE,14
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,76,7,5,Rio de Janeiro,87,101,108_9660,LOCALIZATION,14
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,77,7,4,AntĂ´nio LuĂ­s Fernandes,103,127,108_9660,PERSON,24
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,78,7,4,JosĂ© AntĂ´nio Mendes da Costa,148,178,108_9660,PERSON,30
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,79,7,4,D. Maria I,190,200,108_9660,PERSON,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,80,7,3,REQUERIMENTO,30,43,108_9660,TYPE,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,81,7,1,capitĂŁo de OrdenanĂ§as,46,69,108_9660,ROLE,23
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,82,7,1,comerciante,72,84,108_9660,ROLE,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,83,7,1,procurador,137,148,108_9660,ROLE,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,84,7,1,rainha,183,190,108_9660,ROLE,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,85,7,2,Mesa de InspeĂ§ĂŁo,248,267,108_9660,INSTITUTION,18
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,86,7,4,inspetor,225,234,108_9660,PERSON,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,87,7,4,deputado,236,245,108_9660,PERSON,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,88,8,7,"1817, novembro, 13",8,26,109_18824,DATE,18
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,89,8,5,Lisboa,28,35,109_18824,LOCALIZATION,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,90,8,4,Matias GonĂ§alve,262,278,109_18824,PERSON,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,91,8,4,Rodrigo JosĂ© Franco,134,155,109_18824,PERSON,20
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,92,8,3,CERTIDĂO,35,45,109_18824,TYPE,9
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,93,8,1,mestre,255,262,109_18824,ROLE,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,94,8,2,"Junta Real do ComĂ©rcio, Agricultura, FĂˇbricas e NavegaĂ§ĂŁo",72,133,109_18824,INSTITUTION,61
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,95,9,7,"1670, outubro, 14",0,18,110_noid,DATE,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,96,9,5,Lisboa,20,27,110_noid,LOCALIZATION,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,97,9,5,Rio deJaneiro,99,112,110_noid,LOCALIZATION,13
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,99,9,3,ALVARĂ rĂ©gio,27,41,110_noid,TYPE,14
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,100,9,1,Procurador geral,69,86,110_noid,ROLE,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,101,10,8,mulher,243,249,111_470,AFFILIATION,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,102,10,8,"1651, Janeiro, 18",7,24,111_470,AFFILIATION,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,103,10,4,D. JoĂŁo IV,73,84,111_470,PERSON,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,104,10,4,Salvador Correia de SĂˇ e Benevides,143,178,111_470,PERSON,35
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,105,10,4,Catarina de Velasco,250,270,111_470,PERSON,19
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,106,10,3,CONSULTA,33,42,111_470,TYPE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,107,10,1,rei,69,73,111_470,ROLE,3
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,108,10,1,governador,102,113,111_470,ROLE,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,109,10,1,capitĂŁo-general,115,131,111_470,ROLE,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,110,10,5,reino,302,307,111_470,LOCALIZATION,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,111,11,7,"1663, Outubro, 19",7,24,112_840,DATE,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,112,11,5,Lisboa,26,33,112_840,LOCALIZATION,6
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,113,11,4,D. Afonso VI,72,86,112_840,PERSON,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,114,11,4,JoĂŁo Gomes,223,234,112_840,PERSON,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,115,11,4,Domingos Ferreira,331,348,112_840,PERSON,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,116,11,4,Domingos de Barros,350,368,112_840,PERSON,18
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,117,11,4,Manuel SimĂµes,370,384,112_840,PERSON,14
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,118,11,4,Diogo Nunes Rosa,387,403,112_840,PERSON,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,119,11,3,CONSULTA,33,42,112_840,TYPE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,120,11,1,rei,69,73,112_840,ROLE,3
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,121,11,1,capitĂŁo,132,141,112_840,ROLE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,122,11,1,capitĂŁo,214,223,112_840,ROLE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,123,11,2,Conselho Ultramarino,45,65,112_840,INSTITUTION,20
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,124,11,2,companhia de infantaria,144,167,112_840,INSTITUTION,23
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,125,11,5,Santo Amaro,253,265,112_840,LOCALIZATION,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,126,13,7,"1756, Junho, 27",8,23,114_3767,DATE,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,127,13,5,BelĂ©m do ParĂˇ,24,40,114_3767,LOCALIZATION,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,128,13,5,Reino,224,230,114_3767,LOCALIZATION,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,129,13,4,Francisco de Aguiar e Sousa,51,80,114_3767,PERSON,27
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,130,13,4,Diogo de MendonĂ§a Corte Real,132,161,114_3767,PERSON,29
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,131,13,3,OFĂŤCIO,41,49,114_3767,TYPE,7
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,132,13,1,secretĂˇrio de estado da Marinha e Ultramar,87,130,114_3767,ROLE,43
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,133,14,7,"1780, Outubro, 30",8,25,115_7055,DATE,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,134,14,5,ParĂˇ,27,33,115_7055,LOCALIZATION,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,135,14,4,", JosĂ© de NĂˇpoles Telo de Meneses",104,139,115_7055,PERSON,35
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,136,14,4,Martinho de Melo e Castro,193,218,115_7055,PERSON,25
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,137,14,4,Henrique JoĂŁo Wilckens,262,285,115_7055,PERSON,23
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,138,14,4,TeodĂłsio Constantino de Chermont.,403,437,115_7055,PERSON,34
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,139,14,3,OFĂŤCIO,33,41,115_7055,TYPE,7
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,140,14,1,capitĂŁo general,57,73,115_7055,ROLE,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,141,14,1,secretĂˇrio de estado da Marinha e Ultramar,148,191,115_7055,ROLE,43
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,142,14,1,capitĂŁo engenheiro,241,262,115_7055,ROLE,19
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,143,14,1,sargento-mor,303,315,115_7055,ROLE,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,144,14,1,engenheiro,336,346,115_7055,ROLE,10
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,145,14,1,tenente coronel,385,401,115_7055,ROLE,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,146,14,5,Estado do ParĂˇ,77,92,115_7055,LOCALIZATION,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,147,14,5,Rio Negro,95,104,115_7055,LOCALIZATION,9
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,148,15,7,"1767, Janeiro, 17",13,30,116_5309,DATE,17
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,149,15,5,ParĂˇ,206,211,116_5309,LOCALIZATION,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,150,15,4,Francisco da Costa de Oliveira,47,77,116_5309,PERSON,30
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,151,15,4,JosĂ©,92,97,116_5309,PERSON,5
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,152,15,3,REQUERIMENTO,31,44,116_5309,TYPE,12
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,153,15,1,meirinho,141,150,116_5309,ROLE,8
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,154,15,1,correiĂ§ĂŁo,171,182,116_5309,ROLE,11
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,155,15,1,Ouvidoria Geral,153,169,116_5309,ROLE,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,156,16,7,"1789, Junho, 15",7,22,117_566,DATE,15
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,157,16,4,JoĂŁo Pereira Caldas,92,113,117_566,PERSON,20
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,158,16,4,Martinho de Melo e Castro,163,188,117_566,PERSON,25
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,159,16,3,OFĂŤCIO,64,72,117_566,TYPE,7
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,160,16,1,capitĂŁo-general,75,91,117_566,ROLE,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,161,16,1,secretĂˇrio de estado da Marinha e Ultramar,118,161,117_566,ROLE,43
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,162,16,2,RepartiĂ§ĂŁo das DamarcaĂ§Ăµes de Limites,246,287,117_566,INSTITUTION,41
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,164,17,7,"1806, marĂ§o, 24",12,30,118_17404,DATE,16
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,165,17,5,vila de SirinhaĂ©m,98,116,118_17404,LOCALIZATION,18
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,166,17,3,Afonso de Albuquerque e Melo,118,146,118_17404,TYPE,28
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,167,17,3,Manoel Rodrigues Sette,167,189,118_17404,TYPE,22
Documents 100-300 (without Portuguese letters),100-300.mex,Documents 100-300 (without Portuguese letters)/100-300.mex,168,17,3,D. JoĂŁo,212,220,118_17404,TYPE,8
